Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR5364316_1 - illumina_universal_adapter	(1, 0.0)	(2, 6.593480353439558e-06)	(3, 1.0989133922399264e-05)	(4, 5.714349639647617e-05)	(5, 7.033045710335529e-05)	(6, 9.670437851711351e-05)	(7, 0.00010329785887055308)	(8, 0.00010989133922399264)	(9, 0.00011868264636191205)	(10, 0.00013516634724551095)	(12, 0.00016923266240494866)	(14, 0.0002032989775643864)	(16, 0.00023187072576262446)	(18, 0.0002714316078832618)	(20, 0.0003120914033961391)	(22, 0.0003626414194391757)	(24, 0.00040659795512877275)	(26, 0.0004692360184864486)	(28, 0.0005384675621975639)	(30, 0.0006439632478525968)	(32, 0.0008241850441799447)	(34, 0.0011077046993778457)	(36, 0.0015758418044720544)	(38, 0.0022593659344452887)	(40, 0.003236299940146583)	(42, 0.004580271018856013)	(44, 0.006215454146509023)	(46, 0.008274817843566646)	(48, 0.011133091576782694)	(50, 0.01463642747124358)	(52, 0.019291424600771906)	(54, 0.024967312271691126)	(56, 0.03210475475428945)	(58, 0.04067188356019191)	(60, 0.051384091307746724)	(62, 0.06492600104031933)	(64, 0.08165366069699549)	(66, 0.10289345874220879)	(68, 0.12883660610620898)	(70, 0.16020838562787437)	(72, 0.19955497963702495)	(74, 0.24947971395987706)	(76, 0.3116045847633768)	(78, 0.3873394979297681)	(80, 0.47821523981444103)	(82, 0.5884219671820066)	(84, 0.72519382689358)	(86, 0.8918077786848209)	(88, 1.0902572514492526)
SRR5364316_1 - polya	(1, 0.004318729631502911)	(2, 0.00940889646435825)	(3, 0.011529799311381308)	(4, 0.014446315454386072)	(5, 0.01645732696218514)	(6, 0.017934266561355598)	(7, 0.019659560587172283)	(8, 0.022901355094280065)	(9, 0.0281014132663594)	(10, 0.033315757312537844)	(12, 0.03671579534812818)	(14, 0.040800456427083985)	(16, 0.044901601206923394)	(18, 0.04846317951117299)	(20, 0.05297971355327909)	(22, 0.056486346187916696)	(24, 0.059889680963683745)	(26, 0.06285454929594707)	(28, 0.06631392865471836)	(30, 0.07001287113299795)	(32, 0.07348543745247611)	(34, 0.07671404499887702)	(36, 0.08044595487892381)	(38, 0.08437566916957379)	(40, 0.08823834974329714)	(42, 0.09148893555754284)	(44, 0.09442523214160792)	(46, 0.0975736190103753)	(48, 0.10143300284392193)	(50, 0.10501655941601631)	(52, 0.10765065481721542)	(54, 0.11037925677014716)	(56, 0.11337599359078544)	(58, 0.11648921523100116)	(60, 0.11987276956570789)	(62, 0.12316401517546646)	(64, 0.12730911649099547)	(66, 0.13133773298694704)	(68, 0.1343839209102361)	(70, 0.13721142506846945)	(72, 0.1404499228354005)	(74, 0.14332358135610793)	(76, 0.14639943994098747)	(78, 0.1493785941473499)	(80, 0.15253357449647073)	(82, 0.15569295049916054)	(84, 0.15866001665820834)	(86, 0.16161169802976477)	(88, 0.16474250228425633)
SRR5364316_2 - illumina_universal_adapter	(1, 0.0)	(2, 2.1978267844798528e-06)	(3, 8.791307137919411e-06)	(4, 4.17587089051172e-05)	(5, 5.494566961199632e-05)	(6, 8.35174178102344e-05)	(7, 9.011089816367396e-05)	(8, 9.230872494815382e-05)	(9, 9.670437851711351e-05)	(10, 0.00011648481957743218)	(12, 0.0001505511347368699)	(14, 0.00019340875703422703)	(16, 0.00023626637933158416)	(18, 0.0002692337810987819)	(20, 0.00031428923018061896)	(22, 0.0003670370730081354)	(24, 0.00042198274262013173)	(26, 0.00048791754615452735)	(28, 0.000568138223788042)	(30, 0.000687919783542194)	(32, 0.0008615480995161023)	(34, 0.0011461666681062432)	(36, 0.0016318863874762906)	(38, 0.002325300737979684)	(40, 0.0033154217043878578)	(42, 0.004672579743804167)	(44, 0.006325345485733016)	(46, 0.008370423308691519)	(48, 0.011263862270459245)	(50, 0.014788077519372689)	(52, 0.019485932271198374)	(54, 0.02523984279296663)	(56, 0.03238387875591839)	(58, 0.04087628145114854)	(60, 0.05150607069428535)	(62, 0.06493589126084949)	(64, 0.08156245088543958)	(66, 0.10253850971651529)	(68, 0.12824758852796836)	(70, 0.15973585286921121)	(72, 0.19911651319352122)	(74, 0.24918740299754122)	(76, 0.31138260425814435)	(78, 0.3870636706683158)	(80, 0.4779745777815405)	(82, 0.5881252605661017)	(84, 0.7245883256144559)	(86, 0.8908363392460807)	(88, 1.0889945999615689)
SRR5364316_2 - polya	(1, 0.014503458950782549)	(2, 0.021738704725290225)	(3, 0.026921180283093718)	(4, 0.031092655520036476)	(5, 0.03402895210410156)	(6, 0.03612348102971086)	(7, 0.03829493389277695)	(8, 0.04369059864867499)	(9, 0.049286265641960696)	(10, 0.05637755376208494)	(12, 0.06102266067108311)	(14, 0.06680843968122632)	(16, 0.07278103396805033)	(18, 0.0794547349991234)	(20, 0.0859284337928088)	(22, 0.0923713630115115)	(24, 0.09832857251084413)	(26, 0.10401435040229351)	(28, 0.11021991432827238)	(30, 0.11674306422460859)	(32, 0.1226881856766266)	(34, 0.12868165931790315)	(36, 0.1344938122494601)	(38, 0.1411378426189427)	(40, 0.14716428366198647)	(42, 0.15311380076757342)	(44, 0.1593743103631643)	(46, 0.16605460487459078)	(48, 0.17167115122232907)	(50, 0.177240444294201)	(52, 0.1829877613356158)	(54, 0.18911640132413787)	(56, 0.19491426838159576)	(58, 0.2005220234221961)	(60, 0.2066078057884208)	(62, 0.2125419381065164)	(64, 0.21875299659945646)	(66, 0.2247321843666339)	(68, 0.23149050172890945)	(70, 0.2382905778000901)	(72, 0.24424449055924602)	(74, 0.2501610402630658)	(76, 0.2559061594776961)	(78, 0.2615205079986499)	(80, 0.26738211203285767)	(82, 0.2739876804336119)	(84, 0.2800086269096944)	(86, 0.2860889147089579)	(88, 0.29188897959320026)
SRR5364317_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 6.999273382099293e-06)	(4, 6.0660369311527206e-05)	(5, 7.232582494835936e-05)	(6, 8.165818945782509e-05)	(7, 8.399128058519152e-05)	(8, 8.632437171255795e-05)	(9, 8.865746283992437e-05)	(10, 0.00010265600960412296)	(12, 0.00012365382975042084)	(14, 0.00014815128658776837)	(16, 0.00016098328778828372)	(18, 0.00017148219786143268)	(20, 0.0002029789280808795)	(22, 0.00022514329379086059)	(24, 0.0002694720252108228)	(26, 0.000313800756630785)	(28, 0.000373294580378629)	(30, 0.00044445385976330513)	(32, 0.000584439327405291)	(34, 0.0008375797147245487)	(36, 0.0011665455636832155)	(38, 0.0016576612459938494)	(40, 0.0023622547664585115)	(42, 0.003309489764169282)	(44, 0.004530862969345609)	(46, 0.006046205656570106)	(48, 0.008129656033308329)	(50, 0.010745051187086099)	(52, 0.014045208586745914)	(54, 0.018003297684323065)	(56, 0.022896956323974156)	(58, 0.02917997072997195)	(60, 0.03713347838316411)	(62, 0.04682047274398954)	(64, 0.05914852626099376)	(66, 0.074485100786737)	(68, 0.09309383561861165)	(70, 0.11596279484905742)	(72, 0.14447550151660254)	(74, 0.18046459870179343)	(76, 0.2252261185258821)	(78, 0.27998843346742697)	(80, 0.3465328586021723)	(82, 0.4280743935036291)	(84, 0.5296466822790904)	(86, 0.6547236976172046)	(88, 0.8034629231690694)
SRR5364317_1 - polya	(1, 0.004962484827908399)	(2, 0.009554008166565535)	(3, 0.012190401140489603)	(4, 0.014962113399800922)	(5, 0.017064228505558075)	(6, 0.018527076642416828)	(7, 0.020269895714559553)	(8, 0.0230882697964182)	(9, 0.02749547893601339)	(10, 0.03209750118474367)	(12, 0.0349240410855481)	(14, 0.038632489432497044)	(16, 0.04214145848805616)	(18, 0.04512198240326677)	(20, 0.04895525112552982)	(22, 0.05188561358150206)	(24, 0.054597832017065535)	(26, 0.05695425405570563)	(28, 0.059696802675924865)	(30, 0.06274498623382911)	(32, 0.0657418417869313)	(34, 0.06853338532082523)	(36, 0.07192220018332496)	(38, 0.07514419903021802)	(40, 0.07839536151620313)	(42, 0.08089876829586731)	(44, 0.08318403105512273)	(46, 0.08585892003264833)	(48, 0.0892045727092918)	(50, 0.09242540501062116)	(52, 0.0946756714029661)	(54, 0.09716624618142974)	(56, 0.09989829589157584)	(58, 0.10245653031273314)	(60, 0.10532389930826647)	(62, 0.10813410757117935)	(64, 0.11300093566286572)	(66, 0.11773361101472851)	(68, 0.12036650435196154)	(70, 0.12287341076831677)	(72, 0.12573261394490431)	(74, 0.12830251382169847)	(76, 0.1308922449730752)	(78, 0.13345397903092354)	(80, 0.13608687236815653)	(82, 0.13869526824855222)	(84, 0.14127450048985582)	(86, 0.14389572837145198)	(88, 0.14649479188733822)
SRR5364317_2 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 4.666182254732862e-06)	(4, 4.432873141996219e-05)	(5, 5.3661095929427914e-05)	(6, 6.76596426936265e-05)	(7, 7.232582494835936e-05)	(8, 7.699200720309222e-05)	(9, 8.165818945782509e-05)	(10, 8.749091727624116e-05)	(12, 0.00011198837411358869)	(14, 0.00015281746884250125)	(16, 0.00016798256117038304)	(18, 0.00018198110793458163)	(20, 0.0002181440204087613)	(22, 0.00025197384175557454)	(24, 0.00030446839212131926)	(26, 0.00034646403241391497)	(28, 0.00041645676623490793)	(30, 0.0005004480468200995)	(32, 0.0006392669688984021)	(34, 0.0008947404473450262)	(36, 0.0012470372075773573)	(38, 0.0017439856177064073)	(40, 0.0024579115026805353)	(42, 0.0034086461370823554)	(44, 0.004649850616841297)	(46, 0.006159360576247378)	(48, 0.008250976771931384)	(50, 0.010882703563600717)	(52, 0.01423185587693523)	(54, 0.018240106433750757)	(56, 0.02315942907580288)	(58, 0.02941211329714491)	(60, 0.03733879040237236)	(62, 0.04693946039148522)	(64, 0.05922435172263316)	(66, 0.07444777132869912)	(68, 0.09298534688118912)	(70, 0.11588930247854536)	(72, 0.14447083533434782)	(74, 0.18058825253154387)	(76, 0.22544309600072718)	(78, 0.2802509062192557)	(80, 0.3466938418899606)	(82, 0.4282015469700705)	(84, 0.5296081862754888)	(86, 0.6546128757886548)	(88, 0.8031689536870212)
SRR5364317_2 - polya	(1, 0.012827335018260638)	(2, 0.019670291294826378)	(3, 0.0244157986478897)	(4, 0.028382053564412632)	(5, 0.031039444358483)	(6, 0.03305523509252759)	(7, 0.03522734293210574)	(8, 0.04057945397828434)	(9, 0.046188205048473235)	(10, 0.0532936340768677)	(12, 0.05789215668890693)	(14, 0.06336908811039962)	(16, 0.06944445740606182)	(18, 0.07575080272333329)	(20, 0.08200232039911164)	(22, 0.08869362575239856)	(24, 0.09470366849649448)	(26, 0.1002074304659519)	(28, 0.10646244777842129)	(30, 0.1130580963954862)	(32, 0.11895031803765012)	(34, 0.12484837240763245)	(36, 0.13087707988074732)	(38, 0.1373140783011513)	(40, 0.14307914647687375)	(42, 0.14896553539121926)	(44, 0.15506190250702773)	(46, 0.16161322239267267)	(48, 0.16731179747126518)	(50, 0.17294621254385512)	(52, 0.17851296797375144)	(54, 0.18458717072384992)	(56, 0.19048755818495963)	(58, 0.1963611150981046)	(60, 0.20249831130864202)	(62, 0.2085865126055047)	(64, 0.21497684920336135)	(66, 0.22118520469328345)	(68, 0.22936618873139383)	(70, 0.23732202947571335)	(72, 0.24322358348238676)	(74, 0.24894432292668925)	(76, 0.25460090236498917)	(78, 0.2602224854363786)	(80, 0.265914061241589)	(82, 0.27239655493897663)	(84, 0.27848009005358454)	(86, 0.2846966113624524)	(88, 0.2906984882876026)
SRR5364318_1 - illumina_universal_adapter	(1, 0.0)	(2, 2.277193314606758e-06)	(3, 1.138596657303379e-05)	(4, 2.9603513089887856e-05)	(5, 3.188070640449461e-05)	(6, 4.782105960674192e-05)	(7, 5.46526395505622e-05)	(8, 5.692983286516895e-05)	(9, 6.603860612359598e-05)	(10, 8.881053926966358e-05)	(12, 0.00011158247241573114)	(14, 0.0001309386155898886)	(16, 0.00015143335542134941)	(18, 0.0001696509019382035)	(20, 0.00019697722171348458)	(22, 0.00022885792811797918)	(24, 0.00027440179441011437)	(26, 0.00034499478716292387)	(28, 0.0003985088300561827)	(30, 0.0004918737559550598)	(32, 0.000621673774887645)	(34, 0.0008311755598314667)	(36, 0.0011773089436516939)	(38, 0.0016828458594943944)	(40, 0.002323875777556197)	(42, 0.003275742583061822)	(44, 0.004517951536179808)	(46, 0.006090353519915775)	(48, 0.008129580133146127)	(50, 0.010795034907893337)	(52, 0.014021817834691114)	(54, 0.018284723719634965)	(56, 0.02325355953210691)	(58, 0.029400842884887854)	(60, 0.03708523172502836)	(62, 0.046936370004017194)	(64, 0.05899410860485998)	(66, 0.07415793888682638)	(68, 0.09231400118418606)	(70, 0.11490945184837162)	(72, 0.14326164721188306)	(74, 0.17937565598823163)	(76, 0.22381849931275444)	(78, 0.27748852994806383)	(80, 0.3424910131135137)	(82, 0.4227017318305649)	(84, 0.5237430763929813)	(86, 0.6468470083839655)	(88, 0.7933172209761294)
SRR5364318_1 - polya	(1, 0.0031220320343258653)	(2, 0.007507906358258482)	(3, 0.009814703185955127)	(4, 0.012754559755112452)	(5, 0.014783538998427074)	(6, 0.016279655006123713)	(7, 0.0180262622784271)	(8, 0.021321361004663076)	(9, 0.026290196817135025)	(10, 0.03181922218500023)	(12, 0.03518946829061824)	(14, 0.039483116285309275)	(16, 0.043708448480562115)	(18, 0.04744646130648911)	(20, 0.051748079477781275)	(22, 0.05538475720120827)	(24, 0.05876752787005661)	(26, 0.061889559904382475)	(28, 0.06535886391918587)	(30, 0.06911623288828703)	(32, 0.07273241587188256)	(34, 0.07607191986775336)	(36, 0.08016517485075901)	(38, 0.08419466842095567)	(40, 0.08818886549477592)	(42, 0.09137238174859617)	(44, 0.094584362918849)	(46, 0.09796144060441084)	(48, 0.10196588504814681)	(50, 0.10568681892421425)	(52, 0.10861187373682664)	(54, 0.11153123556615249)	(56, 0.11445173599213568)	(58, 0.11759084697632108)	(60, 0.12115237732036606)	(62, 0.124601186595338)	(64, 0.12843256434716388)	(66, 0.13200775785109647)	(68, 0.13522657060129312)	(70, 0.13850117458769762)	(72, 0.14191013297966396)	(74, 0.14496954219783814)	(76, 0.1481872163513775)	(78, 0.15150964139738876)	(80, 0.15471251379438317)	(82, 0.1580087511172764)	(84, 0.16114900069811916)	(86, 0.16431885379205174)	(88, 0.1677004858642428)
